"Product","Blackbox flight data recorder by Nicholas Sherlock"
8,51621155,3,-9,-33,0,0,0,2,-12,-9,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-1,6,6,-350,-15,2071,0,5,4,0,158,365,316,247,1,0,0,1,1,-0.006487846441160093,0.16707847383507152,4.396308200271094,5,-21,-42,1,1,-15,0,2,-5,-21,158,365,316,247
10,51621642,5,-5,-34,0,0,0,1,-6,-7,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-2,4,5,-350,-15,2071,2,3,4,0,158,335,318,221,1,0,0,1,1,-0.006622367645817452,0.16716320073807747,4.396265353238875,6,-11,-41,1,1,-15,0,3,-3,-20,158,335,318,221
12,51622142,1,-8,-34,0,0,0,-3,-7,-4,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,0,5,3,-350,-15,2071,6,5,-1,0,158,333,279,201,1,0,0,1,1,-0.006707672461517326,0.16723675738998414,4.396239120122485,-2,-15,-38,1,1,-15,0,1,-4,-18,158,333,279,201
14,51622643,-3,-8,-33,0,0,0,-12,-5,-1,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,2,5,2,-350,-15,2071,12,7,-4,0,162,321,224,158,1,0,0,1,1,-0.006757105129202099,0.16729739737596533,4.396221702991771,-15,-13,-34,1,1,-15,0,-1,-4,-17,162,321,224,158
16,51623144,-5,-7,-32,0,0,0,-21,-3,1,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,3,5,1,-350,-15,2071,9,6,-7,0,208,344,222,158,1,0,0,1,1,-0.006786849739074553,0.16734934948431973,4.396213154210472,-26,-10,-31,1,1,-15,0,-2,-4,-16,208,344,222,158
18,51623646,-1,-7,-31,0,0,0,-17,0,3,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,2,5,-1,-351,-16,2071,2,6,-8,0,195,308,221,158,1,0,0,1,1,-0.006867032070465696,0.16744246325984702,4.396222377653835,-18,-7,-28,1,1,-15,0,-1,-4,-14,195,308,221,158
20,51624147,-4,-4,-29,0,0,0,-16,1,5,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,3,4,-2,-351,-16,2071,0,2,-8,0,214,299,224,158,1,0,0,1,1,-0.006924617429513889,0.16751451447836987,4.396240390631137,-20,-3,-24,1,1,-15,0,-2,-3,-13,214,299,224,158
22,51624648,-3,-4,-27,0,0,0,-14,2,8,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,2,4,-4,-351,-16,2072,-3,0,-6,0,210,280,213,158,1,0,0,1,1,-0.0069811242019967,0.16757064624579598,4.396276139821549,-17,-2,-19,1,1,-15,0,-1,-3,-11,210,280,213,158
24,51625150,0,-4,-25,0,0,0,-8,4,9,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,4,-5,-351,-16,2072,-4,1,-3,0,185,240,208,158,1,0,0,1,1,-0.007037485330582327,0.16762079012789569,4.396320846190472,-8,0,-16,1,1,-15,0,0,-3,-10,185,240,208,158
26,51625651,-2,-3,-23,0,0,0,-6,7,8,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,2,3,-5,-350,-14,2072,-2,2,0,0,199,232,221,158,1,0,0,1,1,-0.007007870672341404,0.16762423924777323,4.396365363903496,-8,4,-15,1,1,-15,0,-1,-2,-10,199,232,221,158
