218750,106298326,-7,2,2,-15,8,12,-6,0,-1,0,0,0,5,6,81,1433,2,2,35,433,1557,272,672,6,1,35,-87,275,391,1,-9,13,0,939,862,802,814,1,0,0,1,1,-0.010742194467507672,0.2650988770437473,5.4698577022616846,-28,10,13,2,2,35,43.3,-4,1,0,939,862,802,814
218752,106298827,-3,0,2,-15,8,12,-1,-1,-1,0,0,0,5,6,81,1433,2,2,35,433,1557,272,672,3,2,33,-78,257,390,-5,-6,9,0,921,851,812,833,1,0,0,1,1,-0.010637672113162943,0.26511944503960255,5.469558911557359,-19,7,13,2,2,35,43.3,-1,0,2,921,851,812,833
218754,106299328,-2,-2,3,-15,8,12,2,-2,1,0,0,0,5,6,81,1433,2,2,35,433,1557,272,672,3,3,31,-78,257,390,2,6,31,0,911,845,808,854,1,0,0,1,1,-0.010537913817419562,0.2651485422650215,5.469278332870462,-15,4,16,2,2,35,43.3,-1,-1,4,911,845,808,854
218756,106299828,1,-3,3,-15,8,12,7,-4,1,0,0,0,5,6,81,1433,2,2,35,433,1557,272,672,1,4,32,-82,247,395,5,14,59,0,895,835,816,872,1,0,0,1,1,-0.010453451403334845,0.26518637660436567,5.468989361833593,-7,1,16,2,2,35,43.3,1,-2,3,895,835,816,872
218758,106300329,3,-2,2,-15,8,12,8,-3,-1,0,0,0,5,6,81,1433,2,2,35,433,1557,272,672,0,3,35,-82,247,395,6,10,65,0,887,831,830,869,1,0,0,1,1,-0.010370405134654483,0.26521579392641936,5.468672531618909,-4,3,13,2,2,35,43.3,2,-1,0,887,831,830,869
218760,106300829,0,-1,0,-15,8,12,6,-3,-3,0,0,0,5,6,81,1433,2,2,35,433,1557,272,672,1,3,37,-92,233,406,9,3,46,0,890,845,832,851,1,0,0,1,1,-0.010274046769231517,0.26524530390510287,5.4683382436597325,-9,4,9,2,2,35,43.3,1,-1,-2,890,845,832,851
218762,106301321,-5,-1,0,-15,8,12,1,-2,-4,0,0,0,5,6,81,1433,2,2,34,433,1557,272,672,5,3,36,-92,233,406,14,-4,19,0,906,865,818,828,1,0,0,1,1,-0.010147203905487269,0.26527421337521156,5.468018195606856,-19,5,8,2,2,34,43.3,-3,-1,-2,906,865,818,828
218764,106301822,-5,3,-1,-15,8,12,0,2,-4,0,0,0,5,6,81,1433,2,2,34,433,1557,272,672,4,0,37,-86,215,422,3,-11,11,0,921,851,835,811,1,0,0,1,1,-0.010024335283330663,0.2652774707282386,5.467682953630359,-20,13,7,2,2,34,43.3,-2,2,-3,921,851,835,811
218766,106302322,-6,0,-2,-15,8,12,-3,3,-5,0,0,0,5,6,81,1433,2,2,34,433,1557,272,672,5,2,39,-86,215,422,-2,-4,26,0,921,867,828,801,1,0,0,1,1,-0.009888283425538193,0.26529830420128797,5.467330473827866,-24,11,5,2,2,34,43.3,-3,0,-5,921,867,828,801
218768,106302824,-6,-7,-4,-15,8,12,-10,-3,-6,0,0,0,5,6,81,1433,2,2,34,433,1557,272,672,5,6,40,-88,205,439,-4,15,50,0,904,908,797,809,1,0,0,1,1,-0.009749378869625737,0.26535430439259305,5.466967854395733,-31,-2,2,2,2,34,43.3,-3,-4,-6,904,908,797,809
218770,106303324,-5,-6,-5,-15,8,12,-14,-6,-5,0,0,0,6,6,81,1433,2,2,34,433,1557,272,672,5,5,38,-88,205,439,1,16,61,0,906,917,786,809,1,0,0,1,1,-0.009615728814329223,0.2654011391597932,5.466624664975666,-34,-4,2,2,2,34,43.3,-3,-3,-4,906,917,786,809
218772,106303824,-8,0,-5,-15,8,12,-14,-1,-3,0,0,0,6,6,81,1433,2,2,34,433,1557,272,672,6,2,37,-102,199,459,18,8,53,0,934,897,798,789,1,0,0,1,1,-0.009475647018530327,0.2654216653301354,5.466290250194,-37,7,4,2,2,34,43.3,-4,0,-3,934,897,798,789
218774,106304325,-9,0,-5,-15,8,12,-12,0,-2,0,0,0,6,6,81,1433,2,2,34,433,1557,272,672,7,2,38,-102,199,459,24,0,32,0,938,892,800,788,1,0,0,1,1,-0.009324155950492706,0.26544226590670006,5.465946100471981,-36,8,5,2,2,34,43.3,-5,0,-4,938,892,800,788
